filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
76 5.140564e+01 4.352982e+00 21 2.988988e-01 -5.758622e-01 -2.411307e+00 3.506619e+01 sw00433509000b_bgd.pha 3844.53 6834.99 5900.02 5108.38 56.990242 7.280127e-09 263361_GRB070306 26997 0
77 5.113037e+01 3.272157e+00 23 3.745181e-01 -8.983818e-01 -2.726179e+00 3.200390e+01 sw00307604000b_bgd.pha 6445.04 10581 8166.03 7245.38 31.393231 7.815354e-09 252593_GRB061222B 26997 0
78 5.050903e+01 5.108521e+00 07 2.619292e-01 -8.243730e-01 -2.373754e+00 1.094574e+01 sw00319584000b_bgd.pha 5498.9 10258.4 8829.98 10369.6 56.990242 4.237361e-10 111622_GRB050319 26997 0
79 5.213684e+01 1.828210e+00 26 5.657289e-01 -2.386212e-01 -2.223970e+00 1.540187e+02 sw00323984000b_bgd.pha 4570.53 8379.66 7568.53 7144.48 46.628525 1.864938e-07 294835_GRB071020 26997 1
80 5.189270e+01 4.376173e+00 15 2.976095e-01 -9.678114e-01 -2.799324e+00 6.117042e+01 sw00210254000b_bgd.pha 4178.67 7808.43 7495.73 7766.58 44.994283 2.409957e-08 313299_GRB080605 26997 0
81 4.879517e+01 3.313047e+00 05 3.709675e-01 -1.051015e+00 -2.580861e+00 2.155080e+00 sw00504779000b_bgd.pha 5173.12 9066.16 8232.64 9264.98 50.662786 8.685506e-12 276205_GRB070419A 26997 0
82 5.117004e+01 3.491252e+00 01 3.562481e-01 -1.278311e-01 -2.831142e+00 3.186539e+01 sw00276321000b_bgd.pha 4383.87 8035.5 7210.48 6537.18 50.694 8.602672e-09 306778_GRB080319C 26997 0
83 5.082520e+01 3.767713e+00 24 3.355907e-01 -1.205385e+00 -2.692677e+00 2.018144e+01 sw00293795000b_bgd.pha 4599.41 8585.49 7739.74 6180.19 19.267549 2.159898e-09 229185_GRB060912A 26997 0
84 5.189758e+01 6.061185e+00 07 2.265909e-01 -1.016739e+00 -2.390015e+00 4.683586e+01 sw00505646000b_bgd.pha 3369.42 6248 5744.83 5317.44 56.990242 9.859558e-09 319584_GRB080810 26997 0
85 5.205200e+01 2.847395e+00 26 4.158658e-01 -8.580776e-01 -2.548283e+00 1.026831e+02 sw00279592000b_bgd.pha 4104.63 7486.46 6683.83 5737.17 46.628525 8.244514e-08 323898_GRB080905B 26997 1
