filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
59 5.171265e+01 5.022470e+00 20 2.656717e-01 -1.230177e+00 -2.743124e+00 4.438264e+01 sw00226382000b_bgd.pha 3998.1 7482.1 7183.07 7239.47 56.291844 1.031053e-08 228316_GRB060906 27147 0
60 5.053711e+01 1.326551e+00 19 6.877133e-01 -6.949051e-01 -1.577428e+00 2.968292e+01 sw00106442000b_bgd.pha 4740.03 8721.14 7692.51 6271.87 44.994283 5.163384e-09 275087_GRB070411 27147 0
61 5.063843e+01 3.507119e+00 02 3.549939e-01 -1.981960e+00 -2.512401e+00 1.721787e+01 sw00282073000b_bgd.pha 4876.05 8310.05 6642.02 5360.56 40.675 1.060621e-09 373674_GRB091024 27147 0
62 5.082764e+01 3.065269e+00 15 3.935779e-01 -1.234697e+00 -2.913744e+00 2.373524e+01 sw00146372000b_bgd.pha 5027.79 8596.13 7009.98 6012.96 44.994283 3.846500e-09 351588_GRB090510 27147 0
63 4.876099e+01 4.928486e+00 07 2.698834e-01 -1.181830e+00 -2.252889e+00 1.507350e+00 sw00278693000b_bgd.pha 3988 7317.7 6598.67 5863.52 56.990242 4.557968e-12 255445_GRB070110 27147 0
64 5.047546e+01 4.303548e+00 30 3.016848e-01 -1.074074e+00 -2.914737e+00 1.212914e+01 sw00277571000b_bgd.pha 6110.67 9991.92 7487.98 5940.69 40.675039 5.423199e-10 350184_GRB090423 27147 0
65 4.815735e+01 6.725181e+00 16 2.071149e-01 -8.730057e-01 -2.922536e+00 5.773381e-01 sw00261664000b_bgd.pha 4054.85 7703.79 7803.65 9177.46 26.557574 6.741320e-14 338895_GRB090102 27147 0
66 5.067871e+01 2.894998e+00 18 4.107833e-01 -7.073425e-01 -1.750858e+00 2.086954e+01 sw00304549000b_bgd.pha 3551.2 6544.8 5915.2 5472 26.557574 1.756381e-09 163438_GRB051111 27147 0
67 5.169006e+01 4.250453e+00 15 3.047356e-01 -7.668123e-01 -2.530043e+00 4.960204e+01 sw00202505000b_bgd.pha 3520.75 6539.6 6147.17 5916.54 44.994283 1.548286e-08 231231_GRB060926 27147 0
68 5.101746e+01 1.112949e+00 18 7.572354e-01 -1.010558e+00 -2.831038e+00 5.682030e+01 sw00151905000b_bgd.pha 4803.57 8991.95 8734.05 9018 26.557574 9.080419e-08 332931_GRB081029 27147 1
69 5.135376e+01 6.391352e+00 16 2.164692e-01 -1.300503e+00 -2.895742e+00 2.392327e+01 sw00241963000b_bgd.pha 4403.22 8154.3 7421.7 6203.68 26.557574 2.194203e-09 359530_GRB090809A 27147 0
70 4.979431e+01 7.798682e+00 21 1.818454e-01 -6.078961e-01 -2.292593e+00 3.337357e+00 sw00331475000b_bgd.pha 3970.66 7410.99 6956.4 6422.37 56.990242 2.159446e-11 255445_GRB070110 27147 0
71 4.953125e+01 1.194118e+00 22 7.292224e-01 -4.927583e-01 -2.762375e+00 9.886205e+00 sw00224364000b_bgd.pha 4039.68 7360.32 6487.47 5408.21 46.628525 1.390153e-09 150314_GRB050814 27147 0
72 5.139648e+01 3.516884e+00 10 3.542265e-01 -1.451192e+00 -2.521805e+00 4.112140e+01 sw00226382000b_bgd.pha 3998.1 7482.1 7183.07 7239.47 19.267549 9.811822e-09 359951_GRB090814A 27147 0
73 5.176941e+01 7.768778e+00 29 1.824656e-01 -9.508317e-01 -2.792311e+00 3.254094e+01 sw00301981000b_bgd.pha 3240.94 6022.59 5490.59 4748.26 50.662786 4.500438e-09 151905_GRB050824 27147 0
74 5.117981e+01 2.790638e+00 18 4.220925e-01 -4.457392e-01 -2.709864e+00 3.818186e+01 sw00118707000b_bgd.pha 4282.03 7837.52 6957.62 6174.02 26.557574 1.440059e-08 319584_GRB080810 27147 0
75 5.195496e+01 4.071028e+00 24 3.155179e-01 -9.548001e-01 -2.456921e+00 6.967013e+01 sw00378559000b_bgd.pha 3421.94 6176.85 5526.21 4843.76 19.267549 2.908067e-08 213823_GRB060607A 27147 1
76 5.157776e+01 5.095095e+00 24 2.625062e-01 -9.740345e-01 -2.425518e+00 3.754598e+01 sw00213180000b_bgd.pha 4121.38 7617.42 7051.6 6616.78 19.267549 7.071499e-09 352190_GRB090516 27147 0
77 5.196167e+01 7.310450e+00 21 1.925287e-01 -1.090627e+00 -1.695348e+00 4.284252e+01 sw00145754000b_bgd.pha 3973.16 7339.92 6573.37 5473.32 56.990242 4.500320e-09 180455_GRB060206 27147 0
78 4.684814e+01 8.569479e+00 20 1.671982e-01 -1.320268e+00 -2.533199e+00 1.032401e-01 sw00292934000b_bgd.pha 5810.4 9920.78 8302.64 7895.07 56.291844 3.838963e-15 350311_GRB090424 27147 0
79 5.201843e+01 4.699627e+00 03 2.807201e-01 -1.090181e+00 -2.441880e+00 6.668597e+01 sw00380311000b_bgd.pha 5136.19 9111.98 7353.84 5350.19 35.017749 2.340617e-08 336489_GRB081203A 27147 0
80 5.214417e+01 4.605032e+00 11 2.854578e-01 -5.244747e-01 -2.143378e+00 7.837346e+01 sw00313116000b_bgd.pha 4230.19 7473.6 6502.72 5733.12 31.393231 2.827685e-08 373172_GRB091018 27147 0
81 5.043457e+01 5.901899e+00 02 2.318203e-01 -5.111097e-01 -2.211550e+00 8.891625e+00 sw00282808000b_bgd.pha 3734.85 6855.95 6196.37 5320.93 40.675 2.536683e-10 238108_GRB061110A 27147 0
82 5.228821e+01 3.588898e+00 25 3.486676e-01 -1.383592e+00 -2.278321e+00 1.129952e+02 sw00211117000b_bgd.pha 4392.78 8101.84 7559.02 7459.74 31.393231 6.600174e-08 252593_GRB061222B 27147 1
83 5.203003e+01 3.623685e+00 12 3.460444e-01 -3.511358e-01 -3.158052e+00 8.330883e+01 sw00280706000b_bgd.pha 4582.85 8291.74 7231.07 5826.74 46.628525 5.881108e-08 317508_GRB080721 27147 0
84 5.199219e+01 3.131180e+00 27 3.872985e-01 -8.034734e-01 -2.696476e+00 8.926561e+01 sw00275119000b_bgd.pha 4769.84 9084.66 9384.35 11540 56.990242 6.344771e-08 243690_GRB061210 27147 0
85 5.149719e+01 3.476605e+00 02 3.574137e-01 -7.154687e-01 -1.965250e+00 4.659207e+01 sw00378554000b_bgd.pha 3182.35 5912.7 5486.3 4893.74 40.675 1.054798e-08 285654_GRB070721B 27147 0
86 5.064026e+01 5.237903e+00 18 2.564965e-01 -1.134265e+00 -1.634000e+00 1.246681e+01 sw00214805000b_bgd.pha 4780.96 8549.44 7252.98 5767.28 26.557574 3.728130e-10 231362_GRB060927 27147 0
87 5.160095e+01 7.488654e+00 04 1.884869e-01 -1.202692e+00 -2.167168e+00 2.768865e+01 sw00107547000b_bgd.pha 4573.66 8225.78 7049.63 5733.74 40.675039 2.508899e-09 231231_GRB060926 27147 0
88 5.201050e+01 4.540951e+00 33 2.887591e-01 -6.799364e-01 -2.079266e+00 6.797188e+01 sw00210084000b_bgd.pha 4016.8 7414.1 6660.34 5681.92 50.662786 2.071564e-08 330856_GRB081007 27147 0
